panel_id,imputation,variable,imputed_values,file_name
main,no_imputation,co2_per_capita_ar5,0,model_panel_main_no_imputation.csv
main,no_imputation,env_technology_rta,0,model_panel_main_no_imputation.csv
main,no_imputation,fdi_net_inflows,0,model_panel_main_no_imputation.csv
main,no_imputation,fossil_energy_share,0,model_panel_main_no_imputation.csv
main,no_imputation,gdp_constant_2015_usd,0,model_panel_main_no_imputation.csv
main,no_imputation,inflation,0,model_panel_main_no_imputation.csv
main,no_imputation,renewable_energy_share,0,model_panel_main_no_imputation.csv
main,no_imputation,scientific_journal_articles,0,model_panel_main_no_imputation.csv
main,no_imputation,tertiary_enrollment,0,model_panel_main_no_imputation.csv
main,no_imputation,trade_openness,0,model_panel_main_no_imputation.csv
main,no_imputation,wgi_regulatory_quality,0,model_panel_main_no_imputation.csv
main,linear_interpolated,co2_per_capita_ar5,0,model_panel_main_linear_interpolated.csv
main,linear_interpolated,env_technology_rta,739,model_panel_main_linear_interpolated.csv
main,linear_interpolated,fdi_net_inflows,13,model_panel_main_linear_interpolated.csv
main,linear_interpolated,fossil_energy_share,96,model_panel_main_linear_interpolated.csv
main,linear_interpolated,gdp_constant_2015_usd,0,model_panel_main_linear_interpolated.csv
main,linear_interpolated,inflation,7,model_panel_main_linear_interpolated.csv
main,linear_interpolated,renewable_energy_share,0,model_panel_main_linear_interpolated.csv
main,linear_interpolated,scientific_journal_articles,0,model_panel_main_linear_interpolated.csv
main,linear_interpolated,tertiary_enrollment,520,model_panel_main_linear_interpolated.csv
main,linear_interpolated,trade_openness,5,model_panel_main_linear_interpolated.csv
main,linear_interpolated,wgi_regulatory_quality,492,model_panel_main_linear_interpolated.csv
suba,no_imputation,high_tech_exports,0,model_panel_suba_no_imputation.csv
suba,no_imputation,rise_energy_efficiency,0,model_panel_suba_no_imputation.csv
suba,no_imputation,rise_renewable_energy,0,model_panel_suba_no_imputation.csv
suba,linear_interpolated,high_tech_exports,24,model_panel_suba_linear_interpolated.csv
suba,linear_interpolated,rise_energy_efficiency,0,model_panel_suba_linear_interpolated.csv
suba,linear_interpolated,rise_renewable_energy,0,model_panel_suba_linear_interpolated.csv
subb,no_imputation,energy_imports_net,0,model_panel_subb_no_imputation.csv
subb,no_imputation,env_co_invention_share,0,model_panel_subb_no_imputation.csv
subb,no_imputation,environmental_tax_revenue,0,model_panel_subb_no_imputation.csv
subb,no_imputation,rd_expenditure_gdp,0,model_panel_subb_no_imputation.csv
subb,no_imputation,researchers_per_million,0,model_panel_subb_no_imputation.csv
subb,linear_interpolated,energy_imports_net,64,model_panel_subb_linear_interpolated.csv
subb,linear_interpolated,env_co_invention_share,389,model_panel_subb_linear_interpolated.csv
subb,linear_interpolated,environmental_tax_revenue,5,model_panel_subb_linear_interpolated.csv
subb,linear_interpolated,rd_expenditure_gdp,287,model_panel_subb_linear_interpolated.csv
subb,linear_interpolated,researchers_per_million,274,model_panel_subb_linear_interpolated.csv
subc,no_imputation,eps_index,0,model_panel_subc_no_imputation.csv
subc,linear_interpolated,eps_index,0,model_panel_subc_linear_interpolated.csv
