panel_id,panel_label,panel_role,comparison_group,feature_set_role,target_column,lag_suffix,model,feature,coefficient,abs_coefficient
main,Main v2 model,main,,,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,gdp_constant_2015_usd_lag1_3_mean,0.9665450702567013,0.9665450702567013
main,Main v2 model,main,,,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,scientific_journal_articles_lag1_3_mean,0.8162005935334081,0.8162005935334081
main,Main v2 model,main,,,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,trade_openness_lag1_3_mean,-0.09338012814917533,0.09338012814917533
main,Main v2 model,main,,,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,fdi_net_inflows_lag1_3_mean,0.09237245783643985,0.09237245783643985
main,Main v2 model,main,,,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,co2_per_capita_ar5_lag1_3_mean,0.08447556035531488,0.08447556035531488
main,Main v2 model,main,,,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,wgi_regulatory_quality_lag1_3_mean,0.08269220271111714,0.08269220271111714
main,Main v2 model,main,,,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,renewable_energy_share_lag1_3_mean,-0.039935701097575375,0.039935701097575375
main,Main v2 model,main,,,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,env_technology_rta_lag1_3_mean,-0.0,0.0
main,Main v2 model,main,,,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,inflation_lag1_3_mean,-0.0,0.0
suba,Submodel A: RISE and high-tech exports,mechanism_submodel,,,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,rise_energy_efficiency_lag1_3_mean,0.0,0.0
suba,Submodel A: RISE and high-tech exports,mechanism_submodel,,,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,rise_renewable_energy_lag1_3_mean,0.0,0.0
suba,Submodel A: RISE and high-tech exports,mechanism_submodel,,,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,high_tech_exports_lag1_3_mean,0.0,0.0
subb,"Submodel B: R&D, co-invention, and tax",mechanism_submodel,,,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,rd_expenditure_gdp_lag1_3_mean,0.9680907819541996,0.9680907819541996
subb,"Submodel B: R&D, co-invention, and tax",mechanism_submodel,,,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,env_co_invention_share_lag1_3_mean,0.0,0.0
subb,"Submodel B: R&D, co-invention, and tax",mechanism_submodel,,,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,energy_imports_net_lag1_3_mean,0.0,0.0
subb,"Submodel B: R&D, co-invention, and tax",mechanism_submodel,,,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,researchers_per_million_lag1_3_mean,0.0,0.0
subb,"Submodel B: R&D, co-invention, and tax",mechanism_submodel,,,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,environmental_tax_revenue_lag1_3_mean,-0.0,0.0
subc,Submodel C: OECD EPS,mechanism_submodel,,,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,eps_index_lag1_3_mean,0.0878810248050196,0.0878810248050196
