panel_id,panel_label,panel_role,comparison_group,feature_set_role,target_column,lag_suffix,model,feature,coefficient,abs_coefficient
main_persistence_augmented,Main predictors plus block-safe target history,persistence_augmented,main,main_plus_block_safe_target_history,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,target_history_preblock,3.2941411595734227,3.2941411595734227
main_persistence_augmented,Main predictors plus block-safe target history,persistence_augmented,main,main_plus_block_safe_target_history,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,scientific_journal_articles_lag1_3_mean,0.2790072448843638,0.2790072448843638
main_persistence_augmented,Main predictors plus block-safe target history,persistence_augmented,main,main_plus_block_safe_target_history,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,gdp_constant_2015_usd_lag1_3_mean,0.019097313265094215,0.019097313265094215
main_persistence_augmented,Main predictors plus block-safe target history,persistence_augmented,main,main_plus_block_safe_target_history,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,renewable_energy_share_lag1_3_mean,-0.0,0.0
main_persistence_augmented,Main predictors plus block-safe target history,persistence_augmented,main,main_plus_block_safe_target_history,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,wgi_regulatory_quality_lag1_3_mean,0.0,0.0
main_persistence_augmented,Main predictors plus block-safe target history,persistence_augmented,main,main_plus_block_safe_target_history,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,co2_per_capita_ar5_lag1_3_mean,0.0,0.0
main_persistence_augmented,Main predictors plus block-safe target history,persistence_augmented,main,main_plus_block_safe_target_history,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,fdi_net_inflows_lag1_3_mean,-0.0,0.0
main_persistence_augmented,Main predictors plus block-safe target history,persistence_augmented,main,main_plus_block_safe_target_history,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,env_technology_rta_lag1_3_mean,-0.0,0.0
main_persistence_augmented,Main predictors plus block-safe target history,persistence_augmented,main,main_plus_block_safe_target_history,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,trade_openness_lag1_3_mean,-0.0,0.0
main_persistence_augmented,Main predictors plus block-safe target history,persistence_augmented,main,main_plus_block_safe_target_history,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,inflation_lag1_3_mean,-0.0,0.0
