country_code,country_name,year,env_patent_share_inventions,gdp_constant_2015_usd_lag1,gdp_constant_2015_usd_lag1_3_mean,renewable_energy_share_lag1,renewable_energy_share_lag1_3_mean,wgi_regulatory_quality_lag1,wgi_regulatory_quality_lag1_3_mean,co2_per_capita_ar5_lag1,co2_per_capita_ar5_lag1_3_mean,fdi_net_inflows_lag1,fdi_net_inflows_lag1_3_mean,env_technology_rta_lag1,env_technology_rta_lag1_3_mean,scientific_journal_articles_lag1,scientific_journal_articles_lag1_3_mean,trade_openness_lag1,trade_openness_lag1_3_mean,inflation_lag1,inflation_lag1_3_mean
ABW,Aruba,2007,0.003339344,2871404069.44201,2853703186.600673,0.2,0.20000000000000004,1.1088431,0.9882617333333332,4.26739097630904,3.9620938527624467,220316139.723839,-31060063.388889667,NaN,NaN,NaN,NaN,141.042626734626,139.507945558012,3.60802438784541,3.1783135451536935
AFG,Afghanistan,2013,0.002308509,17386490239.3536,16053726815.463934,15.4,14.4,-1.2540947,-1.3733217,0.323442048526517,0.33142477790651964,56823660.0,99923837.66000001,NaN,NaN,34.65,34.65,NaN,NaN,6.44121280934117,6.807978714049416
AFG,Afghanistan,2014,0.0003917605,18360263162.7578,17055610355.881235,16.9,14.966666666666667,-1.282454,-1.3246164666666667,0.266539509081829,0.32754070014683834,48311346.0,52436142.333333336,5.348692,NaN,27.31,34.526666666666664,NaN,NaN,7.38577178397855,8.543723467410873
AFG,Afghanistan,2019,0.001046266,20323499020.3639,19991620315.340866,18.3,19.333333333333332,-1.3029823,-1.3601099333333302,0.321418704642259,0.277366858450352,119435105.715177,88186772.59339233,8.1995684,8.1692508,90.34,74.09666666666668,NaN,NaN,0.626149149168846,3.328664203282102
AGO,Angola,2013,0.001154255,92712034533.3955,86880191852.76399,49.0,51.26666666666667,-1.0374151,-1.0771710666666634,0.981682218580684,0.9781322367000392,-1464627990.88283,-2571870046.3899035,NaN,NaN,21.3,17.919999999999998,81.9394785486361,87.32349534224385,10.2779049218839,12.743343112330868
ALB,Albania,2001,0.003583651,6153077235.62289,5659908261.310853,41.4,44.63333333333333,-0.736177,-0.8330473,1.04657550743325,0.8838715379352919,143000000.0,76403333.33333333,NaN,NaN,22.34,26.02333333333333,61.6092610436407,52.8784353841608,0.0500181363468103,7.027438218989347
ALB,Albania,2002,0.001743831,6698469429.12028,6192439232.558614,39.0,41.0,-0.58436625,-0.7178635166666667,1.12398874181296,1.054508919114749,207300000.0,130500000.0,5.668667,NaN,18.38,21.52,64.2474462587009,58.584041903953704,3.10758827031435,1.1823480200742627
ALB,Albania,2007,0.001669672,8661509309.89701,8200778300.764287,31.6,34.733333333333334,-0.1313664,-0.2582933999999997,1.3817995172674,1.40595399487062,325138316.803696,309634147.32624066,2.4217383999999997,3.0850037999999995,26.35,23.343333333333334,72.2019089483674,68.78537997578978,2.37072831904284,2.339109815073923
ALB,Albania,2009,0.003449664,9861658465.33864,9249227737.278923,35.8,33.13333333333333,0.0382242,-0.0333510333333333,1.42332985219763,1.41158360535876,1247181714.30558,741531878.2773594,2.8505935,2.3436016333333334,52.48,40.24333333333333,75.2485472798728,75.78745237341188,3.32087090389274,2.8747605681862503
ALB,Albania,2012,0.005044715,10685000942.5337,10413371668.5178,35.8,36.63333333333333,0.053824,0.09627780000000001,1.72129581663193,1.5841008491470268,1048706682.05458,1161340041.0950267,2.847562,3.3951379999999998,140.71,111.42,80.6989985298954,76.51762968775004,3.42807130141501,3.10736477036602
